retweet_count,user_screen_name,user_followers_count,user_location,hashtags,text
25,ranganaathan,37157,Bharat,"{'WeMissManoharParrikar', 'VampireCongress', 'GOA🤣🤣', 'ManoharParikkar', 'Nitingadkari', 'GOA'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
0,kalyugyaar,49,,"{'LokSabhaElections2019', 'BJP'}","Save my tweet friends! 
#BJP may make some inroads down south &amp; also in UP, but they will not be ruling d states in future! Majority of d states will have opposition party ruling in centre! 
Looks like Centre for BJP, States 4 others! Complicated equation! #LokSabhaElections2019"
23,GirjeshJadoun1,2,,"{'युवाओं', 'BJP', 'BattleOf2019', 'secret', 'CourtCase', '69000_शिक्षक_भर्ती', 'शिक्षामित्रों', 'ये_ज्ञान_अनमोल_है', '12460_शून्य_जनपद', 'ये_पब्लिक_है_ये_सब_जानती_है', '68500_शिक्षक_भर्ती', 'ये_कैसा_रोजगार'}","#BJP #secret to winning the  #BattleOf2019  is -- if u can't convince them , confused them. But my dear.... #ये_पब्लिक_है_ये_सब_जानती_है #ये_ज्ञान_अनमोल_है 
#ये_कैसा_रोजगार #12460_शून्य_जनपद #69000_शिक्षक_भर्ती  #शिक्षामित्रों #68500_शिक्षक_भर्ती #CourtCase #युवाओं"
0,TOICitiesNews,14608,,"{'ArunachalPradesh', 'BJP', 'JarpumGamlin'}",#ArunachalPradesh #BJP general secretary #JarpumGamlin quits party after being denied ticket to contest assembly elections
15,nancy_viji,242,pondicherry,"{'AIADMKAlliance', 'AMMK', 'Elections2019', 'DMDK', 'DMKAlliance', 'BJP', 'ELECTIONBREAKING', 'INC', 'MakkalNeedhiMaiam', 'AAP', 'TamilNadu', 'TNelections2019'}",WHO WILL WIN IN TAMILNADU  #TamilNadu #TNelections2019 #Elections2019 #ELECTIONBREAKING #MakkalNeedhiMaiam #DMKAlliance #AIADMKAlliance #AMMK #BJP #INC #AAP #DMDK
3,polticalquest,2773,United States,"{'RajivGandhi', 'BJP', 'IndiraGandhi', 'ManoharParrikar', 'RIPParrikar', 'RIP', 'ModiGovt'}","#RajivGandhi #IndiraGandhi &amp; thousands of Congressee during independence fought &amp; died as a soldier dies for his country. Name a single #BJP man who martyred? #RIPParrikar #ManoharParrikar #RIP #ModiGovt @RahulGandhi fyi, @@milinddeora @ManishTewari @@ashokgehlot51 @AltNews Rtplz https://t.co/F7FDlQVxwp"
13,manojku08896988,0,,"{'dirtypolitics', 'MainBhiChowkidar', 'BJP', 'eletion', 'MainBhiBerozgar', 'jagoIndiajago'}","1) When the elections are near.
2) When the seat is won. 
#MainBhiChowkidar #MainBhiBerozgar #BJP #dirtypolitics #eletion #jagoIndiajago https://t.co/ZkvbX0RGh3"
0,vikavi_k,115,"Nagaland, India","{'ChowkidarChorHai', 'BJP', 'NarendraModi', 'KiaHuwaTeriWada'}",Chawkidar Wave to divert Corruption and False Promises. #BJP #ChowkidarChorHai #NarendraModi #KiaHuwaTeriWada
5,Dheerendra4Raj,98,,"{'bjp', 'ChowkidarPhirSe', 'Congress'}","Who is more deserving??
#ChowkidarPhirSe #bjp #Congress https://t.co/zEpth8SSsJ"
0,NEWS9TWEETS,8246,BENGALURU,"{'PavanSawant', 'Goa', 'BIGNEWS:', 'BJP'}","#BIGNEWS: Power struggle in #Goa intensifies as #BJP remains adamant on electing #PavanSawant as the next CM. On the other hand, BJP's coalition partners in Goa demanded 2 Deputy CM posts. https://t.co/mpk7eFU4g4"
4,surajrenucomm,24,India,"{'bjp', 'prideofindianarendramodi', 'BJPVijaySankalpBikeRally', 'NamoAgain', 'BJP4India'}","Wake up Bollywood big personality vote for only #bjp and bring again Hon"" respected @narendramodi in 2019 our country going well in safe hand .. m not big but my vote for @BJP4India .... Salute #NamoAgain #BJP4India #BJPVijaySankalpBikeRally #prideofindianarendramodi https://t.co/Sc74OQ6VtM"
0,thehansindiaweb,3988,Hyderabad,"{'Panaji', 'Goa', 'BJP'}","Clarity on Goa's new chief minister soon, no names yet: State BJP chief
#Goa #Panaji #BJP 
https://t.co/xenIVJYaPH"
0,TheStatesmanLtd,11967,"New Delhi, Delhi","{'BJP', 'LokSabhaElections2019'}","A group of residents, including two dozen women, also met a local #BJP leader and explained their problems to him but he did not pay any heed to the issue. #LokSabhaElections2019
https://t.co/MYDDT4gMZ5"
163,haroonsheikh786,940,,"{'BJP', 'TimesNow', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
0,mrityunjaybose,2148,"Mumbai,  India","{'BJP', 'Goa'}",#BJP leader Pramod Sawant has emerged as frontrunner for post of #Goa CM to succeed @manoharparrikar @DeccanHerald
4,LalchandPurohit,2302,"Rajasthan, India","{'congress', 'aap', 'india', 'news', 'sports', 'RIPManoharParrikar', 'bsp', 'bjp'}",who will win LokSabha 2019? #bjp #congress #aap #bsp #india #news #sports #RIPManoharParrikar
163,INDIADefeatmodi,542,Chennai,"{'BJP', 'TimesNow', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
3,surajrenucomm,24,India,"{'BJYM', 'National_Spokesperson', 'with', 'BJP', 'india', 'BJPVijaySankalpBikeRally', 'bhajpa', 'BJP4India', 'YuvaWantsModi', 'AbkiBaarPhirModiSarkar', 'NamoAgain', 'KahoDilSeModiPhirSe'}","#with Sh.@PremShuklaBJP ji #National_Spokesperson #BJP #india ✌️
#BJP4India #NamoAgain #KahoDilSeModiPhirSe
#BJYM #YuvaWantsModi
#AbkiBaarPhirModiSarkar #BJPVijaySankalpBikeRally #bhajpa 
@BJP4India @BJYM @poonam_mahajan @PremShuklaBJP @bjptarunchugh @vineetjoshi @narendramodi https://t.co/1AsTTm4Tuv"
0,khushal25456075,4,IN MY HOME,{'BJP'},"#BJP 
get set ready"
0,iamreyaj_001,22, India,{'BJP'},@its_girliyapa It's mistakenly mentioned u have included four persons for various things here only one party is capable to get credit for all and that party is none other than #BJP
25,LOTUS_________,222,India,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
54,baldeep61423140,0,,"{'NarendraModi', 'election'}","“The appointment of Lokpal ahead of the #election is an attempt to mislead people by claiming that they [#BJP] had done all they had promised. Prime Minister #NarendraModi should answer why he had not done it in the last four years."" https://t.co/yBPlSwKoPV"
4,activator_n,7639,🇮🇳INDIA🇮🇳,"{'congress', 'aap', 'india', 'news', 'sports', 'RIPManoharParrikar', 'bsp', 'bjp'}",who will win LokSabha 2019? #bjp #congress #aap #bsp #india #news #sports #RIPManoharParrikar
0,ImPrajyotMishra,44508,"Bengaluru, India","{'Congress', 'Mindtree', 'Varanasi', 'Kashmiri', 'BJP', 'SubrotoBagchi', 'Mayawati', 'Modi'}","News Recap:
- #Mayawati Snubs #Congress Over Its 7-seat Offer, Says Alliance Can Defeat #BJP
- #Mindtree Co-founder #SubrotoBagchi Quits Govt Post to Save Comp from L&amp;T's 'Hostile Takeover'
- #Kashmiri who Ran Poll Boycott Campaign in 2014 Looking for #Varanasi Ticket Agnst #Modi"
0,redpixnews,2437,"Chennai,INDIA","{'dmkcandidates', 'hraja', 'MKStalin', 'BJP', 'thamilnews', 'DMK', 'thamizhazhithangapandiyan'}","#thamilnews DMK candidate thamizhachi thangapandian takes on H Raja of BJP Tamil news live #thamizhazhithangapandiyan #dmkcandidates #hraja #BJP #DMK #MKStalin 

https://t.co/hygKle9zPb

@HRajaBJP @mkstalin @arivalayam @BJP4TamilNadu @BJP4India @thamizhachith https://t.co/X0IElx24Uq"
3,surajrenucomm,24,India,"{'PhirEkBaarModiSarkar', 'PadmaAwards', 'Abhinandan', 'MainBhiChowkidar', 'BJPVijaySankalpBikeRally', 'PMNarendraModi', 'WhyModiAgain', 'bjp', 'IndiaUnited', 'PresidentKovind'}","Respect this honor ❤ to the poors by the government ❤
#MainBhiChowkidar 
#bjp #PMNarendraModi #WhyModiAgain #Abhinandan #PadmaAwards #IndiaUnited #PhirEkBaarModiSarkar #PresidentKovind #BJPVijaySankalpBikeRally https://t.co/TTBk0vo9kj"
0,KrishPk8,0,India,"{'MeinBhiChowkidar', 'SanchiBaat'}","Tweet 
Magic 
All 
Politicians 
😀😀😀

#SanchiBaat
#MeinBhiChowkidar 
👉#BJP 
👉#Congress"
652,JenaSeetal,256,,"{'BJP', 'NewOdisha'}","Inducted Shri. Prakash Chandra Behera, Sitting MLA from Salepur constituency, Cuttack into @BJP4India in the presence of senior leaders of @BJP4Odisha . Welcome his decision of joining #BJP to fulfill the vision of a #NewOdisha under the leadership of Hon. PM Sh. @narendramodi. https://t.co/fZpMrPRaUs"
287,ptdeeppandya,493,Karnavati,"{'RakshaMantri', 'ManoharParrikar', 'BJP', 'Karyakarta'}","Deeply saddened by the passing away of #ManoharParrikar ji,Chief Minister of Goa. I salute the services of our former #RakshaMantri to the country in many capacities; along with his endeavours as a #Karyakarta to make #BJP achieve unprecedented heights. My heartfelt condolences ! https://t.co/e1hkvaBV28"
54,3rd_Handle,402,India,"{'NarendraModi', 'election'}","“The appointment of Lokpal ahead of the #election is an attempt to mislead people by claiming that they [#BJP] had done all they had promised. Prime Minister #NarendraModi should answer why he had not done it in the last four years."" https://t.co/yBPlSwKoPV"
0,sangeeta_kalyan,2966,India,"{'Goa', 'ManoharParrikar', 'BJP', 'PriyankaGandhi'}","#Goa
#BJP
#ManoharParrikar
#PriyankaGandhi
Collect Holi cards in Vigo, share 10 Lakhs prize! https://t.co/Etlo4ogM3d"
25,donotreply2384,119,Somewhere On Earth,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
25,mukki008,389,India,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
163,alamdar1961,362,"Injambakkam, Sholinganallur","{'BJP', 'TimesNow', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
7,S_k_chaudhary,190,"Jalpaiguri, India","{'Chowkidar', 'BJP', 'CheatIndia', 'petrol', 'Jumla', 'ElectionCommission'}","@derekobrienmp #ElectionCommission is silent about #Chowkidar &amp; his party's #Jumla 
#CheatIndia by #BJP 
EC can u answer why still this hoarding are there in all #petrol pump https://t.co/LjXBondSBc"
19,DN_Chary,392,"Bhongir, India",{'BJp'},@DickDarryl @DhaseDr @RajatSharmaLive @INCIndia @Pawankhera @sambitswaraj @indiatvnews @AnthonySald @KPadmaRani1 @priyankac19 @aayeff1 @priyapyadav18 @b_k70 @narendramodi @ShashiTharoor @renukacongress @sushmitadevmp @geetv79 @Nattashasharrma @SimmiAhuja_
287,iJaydipRathod,2695,"Dohod,Gujarat, India","{'RakshaMantri', 'ManoharParrikar', 'BJP', 'Karyakarta'}","Deeply saddened by the passing away of #ManoharParrikar ji,Chief Minister of Goa. I salute the services of our former #RakshaMantri to the country in many capacities; along with his endeavours as a #Karyakarta to make #BJP achieve unprecedented heights. My heartfelt condolences ! https://t.co/e1hkvaBV28"
25,ranganaathan,37157,Bharat,"{'WeMissManoharParrikar', 'GOA', 'Nitingadkari', 'VampireCongress', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
0,kalyugyaar,49,,"{'BJP', 'LokSabhaElections2019'}","Save my tweet friends! 
#BJP may make some inroads down south &amp; also in UP, but they will not be ruling d states in future! Majority of d states will have opposition party ruling in centre! 
Looks like Centre for BJP, States 4 others! Complicated equation! #LokSabhaElections2019"
23,GirjeshJadoun1,2,,"{'ये_पब्लिक_है_ये_सब_जानती_है', 'युवाओं', 'BJP', 'secret', 'शिक्षामित्रों', '69000_शिक्षक_भर्ती', '68500_शिक्षक_भर्ती', 'CourtCase', 'ये_ज्ञान_अनमोल_है', '12460_शून्य_जनपद', 'ये_कैसा_रोजगार', 'BattleOf2019'}","#BJP #secret to winning the  #BattleOf2019  is -- if u can't convince them , confused them. But my dear.... #ये_पब्लिक_है_ये_सब_जानती_है #ये_ज्ञान_अनमोल_है 
#ये_कैसा_रोजगार #12460_शून्य_जनपद #69000_शिक्षक_भर्ती  #शिक्षामित्रों #68500_शिक्षक_भर्ती #CourtCase #युवाओं"
0,TOICitiesNews,14608,,"{'JarpumGamlin', 'BJP', 'ArunachalPradesh'}",#ArunachalPradesh #BJP general secretary #JarpumGamlin quits party after being denied ticket to contest assembly elections
15,nancy_viji,242,pondicherry,"{'AIADMKAlliance', 'MakkalNeedhiMaiam', 'BJP', 'TamilNadu', 'AMMK', 'DMKAlliance', 'INC', 'ELECTIONBREAKING', 'AAP', 'TNelections2019', 'DMDK', 'Elections2019'}",WHO WILL WIN IN TAMILNADU  #TamilNadu #TNelections2019 #Elections2019 #ELECTIONBREAKING #MakkalNeedhiMaiam #DMKAlliance #AIADMKAlliance #AMMK #BJP #INC #AAP #DMDK
3,polticalquest,2773,United States,"{'IndiraGandhi', 'BJP', 'RIPParrikar', 'ManoharParrikar', 'ModiGovt', 'RIP', 'RajivGandhi'}","#RajivGandhi #IndiraGandhi &amp; thousands of Congressee during independence fought &amp; died as a soldier dies for his country. Name a single #BJP man who martyred? #RIPParrikar #ManoharParrikar #RIP #ModiGovt @RahulGandhi fyi, @@milinddeora @ManishTewari @@ashokgehlot51 @AltNews Rtplz https://t.co/F7FDlQVxwp"
13,manojku08896988,0,,"{'jagoIndiajago', 'MainBhiBerozgar', 'eletion', 'MainBhiChowkidar', 'BJP', 'dirtypolitics'}","1) When the elections are near.
2) When the seat is won. 
#MainBhiChowkidar #MainBhiBerozgar #BJP #dirtypolitics #eletion #jagoIndiajago https://t.co/ZkvbX0RGh3"
0,vikavi_k,115,"Nagaland, India","{'NarendraModi', 'BJP', 'ChowkidarChorHai', 'KiaHuwaTeriWada'}",Chawkidar Wave to divert Corruption and False Promises. #BJP #ChowkidarChorHai #NarendraModi #KiaHuwaTeriWada
5,Dheerendra4Raj,98,,"{'Congress', 'ChowkidarPhirSe', 'bjp'}","Who is more deserving??
#ChowkidarPhirSe #bjp #Congress https://t.co/zEpth8SSsJ"
163,Aryango49660700,175,"Awas Vikas Meerut, Meerut","{'TimesNow', 'BJP', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
0,TheStatesmanLtd,11967,"New Delhi, Delhi","{'BJP', 'LokSabhaElections2019'}","A group of residents, including two dozen women, also met a local #BJP leader and explained their problems to him but he did not pay any heed to the issue. #LokSabhaElections2019
https://t.co/MYDDT4gMZ5"
163,haroonsheikh786,940,,"{'TimesNow', 'BJP', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
0,mrityunjaybose,2148,"Mumbai,  India","{'Goa', 'BJP'}",#BJP leader Pramod Sawant has emerged as frontrunner for post of #Goa CM to succeed @manoharparrikar @DeccanHerald
4,LalchandPurohit,2302,"Rajasthan, India","{'RIPManoharParrikar', 'bsp', 'bjp', 'aap', 'news', 'congress', 'sports', 'india'}",who will win LokSabha 2019? #bjp #congress #aap #bsp #india #news #sports #RIPManoharParrikar
163,INDIADefeatmodi,542,Chennai,"{'TimesNow', 'BJP', 'ChowkidarChorHai'}",It’s a juvenile campaign that has scored a self-goal. Chowkidar is to #ChowkidarChorHai as Bisleri is to mineral water. It’s generic. #BJP is divorced from ground realities. I guess too busy watching #TimesNow and that other pathetic caricature. https://t.co/FeX98qEmLE
3,surajrenucomm,24,India,"{'with', 'AbkiBaarPhirModiSarkar', 'KahoDilSeModiPhirSe', 'National_Spokesperson', 'BJPVijaySankalpBikeRally', 'NamoAgain', 'YuvaWantsModi', 'BJP', 'bhajpa', 'BJP4India', 'BJYM', 'india'}","#with Sh.@PremShuklaBJP ji #National_Spokesperson #BJP #india ✌️
#BJP4India #NamoAgain #KahoDilSeModiPhirSe
#BJYM #YuvaWantsModi
#AbkiBaarPhirModiSarkar #BJPVijaySankalpBikeRally #bhajpa 
@BJP4India @BJYM @poonam_mahajan @PremShuklaBJP @bjptarunchugh @vineetjoshi @narendramodi https://t.co/1AsTTm4Tuv"
0,khushal25456075,4,IN MY HOME,{'BJP'},"#BJP 
get set ready"
0,iamreyaj_001,22, India,{'BJP'},@its_girliyapa It's mistakenly mentioned u have included four persons for various things here only one party is capable to get credit for all and that party is none other than #BJP
25,LOTUS_________,222,India,"{'VampireCongress', 'Nitingadkari', 'GOA', 'WeMissManoharParrikar', 'ManoharParikkar', 'GOA🤣🤣'}","#Nitingadkari had talks with BJP &amp; MGP party leaders in GOA for next CM in Mrng

next COM of #GOA
👉#BJP  Vishwajit Rane

👉#BJP Pramod Sawant

👉#MGP  Sudin Dhavalikar

but congress trying to stake claim for #GOA🤣🤣

#WeMissManoharParrikar

#ManoharParikkar

#VampireCongress https://t.co/YlvI4k4USo"
54,baldeep61423140,0,,"{'election', 'NarendraModi'}","“The appointment of Lokpal ahead of the #election is an attempt to mislead people by claiming that they [#BJP] had done all they had promised. Prime Minister #NarendraModi should answer why he had not done it in the last four years."" https://t.co/yBPlSwKoPV"
4,activator_n,7639,🇮🇳INDIA🇮🇳,"{'RIPManoharParrikar', 'bsp', 'bjp', 'aap', 'news', 'congress', 'sports', 'india'}",who will win LokSabha 2019? #bjp #congress #aap #bsp #india #news #sports #RIPManoharParrikar
0,ImPrajyotMishra,44508,"Bengaluru, India","{'Congress', 'Mayawati', 'Modi', 'Varanasi', 'Mindtree', 'BJP', 'Kashmiri', 'SubrotoBagchi'}","News Recap:
- #Mayawati Snubs #Congress Over Its 7-seat Offer, Says Alliance Can Defeat #BJP
- #Mindtree Co-founder #SubrotoBagchi Quits Govt Post to Save Comp from L&amp;T's 'Hostile Takeover'
- #Kashmiri who Ran Poll Boycott Campaign in 2014 Looking for #Varanasi Ticket Agnst #Modi"
0,redpixnews,2437,"Chennai,INDIA","{'hraja', 'thamizhazhithangapandiyan', 'MKStalin', 'DMK', 'BJP', 'dmkcandidates', 'thamilnews'}","#thamilnews DMK candidate thamizhachi thangapandian takes on H Raja of BJP Tamil news live #thamizhazhithangapandiyan #dmkcandidates #hraja #BJP #DMK #MKStalin 

https://t.co/hygKle9zPb

@HRajaBJP @mkstalin @arivalayam @BJP4TamilNadu @BJP4India @thamizhachith https://t.co/X0IElx24Uq"
3,surajrenucomm,24,India,"{'MainBhiChowkidar', 'PadmaAwards', 'PhirEkBaarModiSarkar', 'BJPVijaySankalpBikeRally', 'WhyModiAgain', 'Abhinandan', 'PresidentKovind', 'bjp', 'PMNarendraModi', 'IndiaUnited'}","Respect this honor ❤ to the poors by the government ❤
#MainBhiChowkidar 
#bjp #PMNarendraModi #WhyModiAgain #Abhinandan #PadmaAwards #IndiaUnited #PhirEkBaarModiSarkar #PresidentKovind #BJPVijaySankalpBikeRally https://t.co/TTBk0vo9kj"
0,KrishPk8,0,India,"{'MeinBhiChowkidar', 'SanchiBaat'}","Tweet 
Magic 
All 
Politicians 
😀😀😀

#SanchiBaat
#MeinBhiChowkidar 
👉#BJP 
👉#Congress"
